Zone,Address,City ,State,latitude,longitude
Zone 6,368 Eighth St, Jersey City, NJ,40.727375,-74.050309
Zone 6,Eighth St & Manila Av, Jersey City, NJ,40.726626,-74.041925
Zone 6,Erie St & 6th, Jersey City, NJ,40.725342,-74.043797
Zone 6,Erie St & 10th, Jersey City, NJ,40.728959,-74.043241
Zone 6,Jersey Av & 6th, Jersey City, NJ,40.725501,-74.045483
Zone 6,Jersey Av & 10th, Jersey City, NJ,40.729109,-74.044909
Zone 6,McWilliams Pl & 9th, Jersey City, NJ,40.728312,-74.044078
Zone 6,McWilliams Pl & 8th, Jersey City, NJ,40.726837,-74.044305
Zone 6,Manila Av &  Boyle Plaza, Jersey City, NJ,40.730177,-74.041326
Zone 6,Manila Av & 6th St, Jersey City, NJ,40.725191,-74.042138
Zone 6,Monmouth St & 6th, Jersey City, NJ,40.725783,-74.048828
Zone 6,Monmouth St & 9th, Jersey City, NJ,40.728683,-74.048413
Zone 6,Monmouth St & 9th, Jersey City, NJ,40.728683,-74.048413
Zone 6,Monmouth St & 10th st, Jersey City, NJ,40.729417,-74.048281
Zone 6,Monmouth St & 12th st, Jersey City, NJ,40.730201,-74.041528
Zone 6,Ninth St & western terminus, Jersey City, NJ,40.728968,-74.051314
Zone 6,Ninth St & Brunswick St, Jersey City, NJ,40.728846,-74.050059
Zone 6,Ninth St & Monmouth St, Jersey City, NJ,40.728683,-74.048413
Zone 6,Ninth St & Monmouth St, Jersey City, NJ,40.728683,-74.048413
Zone 6,Ninth St & Manila Av, Jersey City, NJ,40.727994,-74.041716
Zone 6,Pavonia Av & Brunswick St, Jersey City, NJ,40.728096,-74.050158
Zone 6,Pavonia Av & Manila Av, Jersey City, NJ,40.727371,-74.041817
Zone 6,7th & newark ave, Jersey City, NJ,40.726965,-74.053492
Zone 6,Seventh St & Manila Av, Jersey City, NJ,40.725933,-74.04203
Zone 6,Sixth St & Brunswick St, Jersey City, NJ,40.725934,-74.050509
Zone 6,Sixth St & Manila Av, Jersey City, NJ,40.725191,-74.042138
Zone 6,Tenth St & Marin Blvd, Jersey City, NJ,40.728671,-74.039833
Zone 6,Tenth St & Brunswick St, Jersey City, NJ,40.729417,-74.048281
Zone 6,West Hamilton Pl & 9th St, Jersey City, NJ,40.728494,-74.046007
Zone 6,West Hamilton Pl & 8th, Jersey City, NJ,40.727006,-74.046242
Zone 9,Washington St & Dudley St , Jersey City, NJ,40.712418,-74.038341
Zone 9,Washington St & Terminus, Jersey City, NJ,40.71141,-74.038502
Zone 10,56 Bayside Terrace, Jersey City, NJ,40.698452,-74.081118
Zone 10,Bayside Ter & Richard St, Jersey City, NJ,40.699593,-74.079459
Zone 10,538 GARFIELD AVE, Jersey City, NJ,40.699558,-74.080458
Zone 10,566 GARFIELD AVE., Jersey City, NJ,40.700266,-74.079427
Zone 10,Richard St & Garfield, Jersey City, NJ,40.700175,-74.079923
Zone 10,2 Richard St, Jersey City, NJ,40.699158,-74.078956
Zone 7,Erie St & 12th, Jersey City, NJ,40.730331,-74.042981
Zone 7,Erie St & 16th, Jersey City, NJ,40.733234,-74.042531
Zone 7,15th & Marin Blvd, Jersey City, NJ,40.73223,-74.039354
Zone 7,15th & Erie St, Jersey City, NJ,40.732514,-74.042645
Zone 7,Grove St & 18th, Jersey City, NJ,40.734488,-74.040669
Zone 7,Grove St & Boyla Plaza, Jersey City, NJ,40.730177,-74.041326
Zone 7,Jersey Av & 12th, Jersey City, NJ,40.730493,-74.044636
Zone 7,Jersey Av & 18th, Jersey City, NJ,40.734967,-74.04398
Zone 7,Manila Av & Boyle Plaza, Jersey City, NJ,40.730177,-74.041326
Zone 7,Manila Av & 6th, Jersey City, NJ,40.725191,-74.042138
Zone 7,Newport Pkwy & River Dr South, Jersey City, NJ,40.728758,-74.031919
Zone 7,Newport Pkwy & Washington Blvd, Jersey City, NJ,40.729288,-74.034841
Zone 7,16th & Marin Blvd, Jersey City, NJ,40.73294,-74.039254
Zone 7,16th and Jersey Av, Jersey City, NJ,40.73337,-74.04421
Zone 7,10 River Dr South, Jersey City, NJ,40.726696,-74.031972
Zone 7,138 River Dr South, Jersey City, NJ,40.730967,-74.031508
